Time (microseconds),scope4
491500.00,105.771797180176
491583.33,106.416160583496
491666.67,105.771797180176
491750.00,104.48307800293
491833.33,103.194358825684
491916.67,99.9725570678711
492000.00,104.48307800293
492083.33,103.194358825684
492166.67,98.6838302612305
492250.00,98.6838302612305
492333.33,96.7507476806641
492416.67,94.8176727294922
492500.00,92.2402267456055
492583.33,96.7507476806641
492666.67,91.5958633422852
492750.00,89.6627883911133
492833.33,90.3071441650391
492916.67,89.018424987793
493000.00,89.6627883911133
493083.33,86.4409790039063
493166.67,84.5079040527344
493250.00,86.4409790039063
493333.33,83.8635406494141
493416.67,83.2191772460938
493500.00,82.574821472168
493583.33,81.9304580688477
493666.67,79.9973754882813
493750.00,77.4199371337891
493833.33,77.4199371337891
493916.67,76.7755737304688
494000.00,76.1312103271484
494083.33,74.8424911499023
494166.67,73.5537719726563
494250.00,71.6206893920898
494333.33,70.9763259887695
494416.67,68.3988876342773
494500.00,68.3988876342773
494583.33,68.3988876342773
494666.67,67.1101684570313
494750.00,66.4658050537109
494833.33,67.1101684570313
494916.67,63.2440032958984
495000.00,58.7334785461426
495083.33,63.2440032958984
495166.67,60.666561126709
495250.00,57.4447593688965
495333.33,58.7334785461426
495416.67,56.1560363769531
495500.00,55.5116767883301
495583.33,55.5116767883301
495666.67,51.6455116271973
495750.00,52.2898750305176
495833.33,52.9342346191406
495916.67,51.6455116271973
496000.00,50.3567924499512
496083.33,48.4237098693848
496166.67,47.1349906921387
496250.00,46.4906272888184
496333.33,43.2688255310059
496416.67,45.2019081115723
496500.00,43.2688255310059
496583.33,41.9801063537598
496666.67,43.2688255310059
496750.00,40.0470237731934
496833.33,40.0470237731934
496916.67,38.113941192627
497000.00,39.4026641845703
497083.33,34.2477798461914
497166.67,36.8252220153809
497250.00,33.6034164428711
497333.33,32.314697265625
497416.67,31.6703357696533
497500.00,28.4485340118408
497583.33,26.5154514312744
497666.67,29.7372550964355
497750.00,29.0928936004639
497833.33,26.5154514312744
497916.67,25.2267303466797
498000.00,23.938009262085
498083.33,25.8710918426514
498166.67,20.7162075042725
498250.00,20.7162075042725
498333.33,20.7162075042725
498416.67,18.7831249237061
498500.00,18.138765335083
498583.33,18.138765335083
498666.67,16.8500442504883
498750.00,16.2056827545166
498833.33,14.9169626235962
498916.67,12.9838809967041
499000.00,13.6282415390015
499083.33,11.050799369812
499166.67,10.4064388275146
499250.00,9.11771774291992
499333.33,7.82899618148804
499416.67,6.54027509689331
499500.00,6.54027509689331
499583.33,5.89591455459595
499666.67,3.96283316612244
499750.00,2.02975153923035
499833.33,2.67411208152771
499916.67,0.0966698154807091
500000.00,0.0966698154807091
500083.33,-2.4807722568512
500166.67,-1.19205129146576
500250.00,-3.76949334144592
500333.33,-5.05821466445923
500416.67,-5.05821466445923
500500.00,-5.70257520675659
500583.33,-6.99129629135132
500666.67,-7.63565683364868
500750.00,-12.1461801528931
500833.33,-8.28001689910889
500916.67,-11.5018196105957
501000.00,-12.7905406951904
501083.33,-12.7905406951904
501166.67,-12.7905406951904
501250.00,-14.7236223220825
501333.33,-18.589786529541
501416.67,-17.3010654449463
501500.00,-18.589786529541
501583.33,-18.589786529541
501666.67,-20.5228672027588
501750.00,-23.1003093719482
501833.33,-23.1003093719482
501916.67,-24.389030456543
502000.00,-27.6108341217041
502083.33,-24.389030456543
502166.67,-26.9664726257324
502250.00,-27.6108341217041
502333.33,-27.6108341217041
502416.67,-30.1882762908936
502500.00,-31.4769973754883
502583.33,-33.4100799560547
502666.67,-32.7657165527344
502750.00,-34.0544395446777
502833.33,-34.6987991333008
502916.67,-35.9875221252441
503000.00,-37.2762413024902
503083.33,-37.2762413024902
503166.67,-38.5649642944336
503250.00,-39.8536834716797
503333.33,-39.8536834716797
503416.67,-41.7867660522461
503500.00,-43.0754852294922
503583.33,-43.7198486328125
503666.67,-44.3642082214355
503750.00,-46.941650390625
503833.33,-46.297290802002
503916.67,-48.8747329711914
504000.00,-47.586009979248
504083.33,-47.586009979248
504166.67,-49.5190925598145
504250.00,-53.38525390625
504333.33,-52.0965347290039
504416.67,-55.9626960754395
504500.00,-53.38525390625
504583.33,-57.2514190673828
504666.67,-55.3183364868164
504750.00,-56.6070594787598
504833.33,-58.5401382446289
504916.67,-59.1845016479492
505000.00,-59.1845016479492
505083.33,-58.5401382446289
505166.67,-63.0506629943848
505250.00,-62.4063034057617
505333.33,-64.3393859863281
505416.67,-65.6281051635742
505500.00,-65.6281051635742
505583.33,-68.8499069213867
505666.67,-68.8499069213867
505750.00,-68.2055511474609
505833.33,-70.7829895019531
505916.67,-68.8499069213867
506000.00,-70.7829895019531
506083.33,-74.0047912597656
506166.67,-73.3604354858398
506250.00,-74.6491546630859
506333.33,-78.5153198242188
506416.67,-79.1596755981445
506500.00,-75.937873840332
506583.33,-77.8709564208984
506666.67,-79.1596755981445
506750.00,-79.8040390014648
506833.33,-79.8040390014648
506916.67,-78.5153198242188
507000.00,-82.381477355957
507083.33,-85.6032791137695
507166.67,-83.6702041625977
507250.00,-85.6032791137695
507333.33,-86.8920059204102
507416.67,-86.8920059204102
507500.00,-88.8250885009766
507583.33,-90.1138076782227
507666.67,-91.4025268554688
507750.00,-93.9799728393555
507833.33,-92.6912460327148
507916.67,-92.6912460327148
508000.00,-94.6243286132813
508083.33,-95.9130477905273
508166.67,-97.8461303710938
508250.00,-98.4904937744141
508333.33,-99.1348571777344
508416.67,-99.1348571777344
508500.00,-100.42357635498
508583.33,-101.712295532227
508666.67,-100.42357635498
508750.00,-101.712295532227
508833.33,-104.289741516113
508916.67,-105.578460693359
509000.00,-106.867179870605
509083.33,-106.222816467285
509166.67,-107.511543273926
509250.00,-110.733345031738
509333.33,-112.022064208984
509416.67,-110.088981628418
509500.00,-113.955146789551
509583.33,-114.599510192871
509666.67,-113.31078338623
509750.00,-113.955146789551
509833.33,-115.243865966797
509916.67,-117.176948547363
510000.00,-120.398750305176
510083.33,-119.11003112793
510166.67,-119.11003112793
510250.00,-122.976196289063
510333.33,-121.687469482422
510416.67,-122.331832885742
510500.00,-125.553634643555
510583.33,-124.264915466309
510666.67,-124.909278869629
510750.00,-126.842353820801
510833.33,-128.775436401367
