Time (seconds),V_ch1,V_ch2,V_ch3,I_ch1,I_ch2,I_ch3
0.407083,-186.123519897461,0,0,0,0,0
0.407292,-176.458114624023,0,0,0,0,0
0.407500,-178.391204833984,0,0,0,0,0
0.407708,-172.591949462891,0,0,0,0,0
0.407917,-167.437072753906,0,0,0,0,0
0.408125,-166.792709350586,0,0,0,0,0
0.408333,-159.704742431641,0,0,0,0,0
0.408542,-157.771667480469,0,0,0,0,0
0.408750,-155.194213867188,0,0,0,0,0
0.408958,-151.328063964844,0,0,0,0,0
0.409167,-148.106262207031,0,0,0,0,0
0.409375,-142.307006835938,0,0,0,0,0
0.409583,-135.863403320313,0,0,0,0,0
0.409792,-135.863403320313,0,0,0,0,0
0.410000,-132.6416015625,0,0,0,0,0
0.410208,-126.842353820801,0,0,0,0,0
0.410417,-124.264915466309,0,0,0,0,0
0.410625,-118.465667724609,0,0,0,0,0
0.410833,-116.532585144043,0,0,0,0,0
0.411042,-110.088981628418,0,0,0,0,0
0.411250,-106.867179870605,0,0,0,0,0
0.411458,-101.712295532227,0,0,0,0,0
0.411667,-97.201774597168,0,0,0,0,0
0.411875,-92.6912460327148,0,0,0,0,0
0.412083,-87.5363616943359,0,0,0,0,0
0.412292,-82.381477355957,0,0,0,0,0
0.412500,-79.1596755981445,0,0,0,0,0
0.412708,-74.6491546630859,0,0,0,0,0
0.412917,-70.1386260986328,0,0,0,0,0
0.413125,-65.6281051635742,0,0,0,0,0
0.413333,-61.1175804138184,0,0,0,0,0
0.413542,-57.2514190673828,0,0,0,0,0
0.413750,-52.0965347290039,0,0,0,0,0
0.413958,-48.2303695678711,0,0,0,0,0
0.414167,-45.6529273986816,0,0,0,0,0
0.414375,-39.8536834716797,0,0,0,0,0
0.414583,-35.9875221252441,0,0,0,0,0
0.414792,-32.1213569641113,0,0,0,0,0
0.415000,-28.8995552062988,0,0,0,0,0
0.415208,-22.4559497833252,0,0,0,0,0
0.415417,-20.5228672027588,0,0,0,0,0
0.415625,-14.0792617797852,0,0,0,0,0
0.415833,-12.7905406951904,0,0,0,0,0
0.416042,-5.05821466445923,0,0,0,0,0
0.416250,-3.12513279914856,0,0,0,0,0
0.416458,-0.547690749168396,0,0,0,0,0
0.416667,5.25155401229858,0,0,0,0,0
0.416875,11.050799369812,0,0,0,0,0
0.417083,14.2726020812988,0,0,0,0,0
0.417292,17.4944038391113,0,0,0,0,0
0.417500,22.0049285888672,0,0,0,0,0
0.417708,25.8710918426514,0,0,0,0,0
0.417917,29.7372550964355,0,0,0,0,0
0.418125,32.314697265625,0,0,0,0,0
0.418333,38.75830078125,0,0,0,0,0
0.418542,38.113941192627,0,0,0,0,0
0.418750,45.8462677001953,0,0,0,0,0
0.418958,49.0680694580078,0,0,0,0,0
0.419167,56.1560363769531,0,0,0,0,0
0.419375,58.0891189575195,0,0,0,0,0
0.419583,62.5996437072754,0,0,0,0,0
0.419792,68.3988876342773,0,0,0,0,0
0.420000,69.6876068115234,0,0,0,0,0
0.420208,74.8424911499023,0,0,0,0,0
0.420417,78.0642929077148,0,0,0,0,0
0.420625,83.2191772460938,0,0,0,0,0
0.420833,85.1522598266602,0,0,0,0,0
0.421042,90.3071441650391,0,0,0,0,0
0.421250,93.5289459228516,0,0,0,0,0
0.421458,99.9725570678711,0,0,0,0,0
0.421667,103.194358825684,0,0,0,0,0
0.421875,105.771797180176,0,0,0,0,0
0.422083,110.926681518555,0,0,0,0,0
0.422292,113.504127502441,0,0,0,0,0
0.422500,117.37028503418,0,0,0,0,0
0.422708,121.236450195313,0,0,0,0,0
0.422917,127.035697937012,0,0,0,0,0
0.423125,126.391334533691,0,0,0,0,0
0.423333,132.834945678711,0,0,0,0,0
0.423542,136.701110839844,0,0,0,0,0
0.423750,139.278549194336,0,0,0,0,0
0.423958,145.077789306641,0,0,0,0,0
0.424167,149.588317871094,0,0,0,0,0
0.424375,153.454483032227,0,0,0,0,0
0.424583,156.031921386719,0,0,0,0,0
0.424792,159.253723144531,0,0,0,0,0
0.425000,163.764251708984,0,0,0,0,0
0.425208,168.274765014648,0,0,0,0,0
0.425417,170.85221862793,0,0,0,0,0
0.425625,175.362731933594,0,0,0,0,0
0.425833,178.584533691406,0,0,0,0,0
0.426042,181.806335449219,0,0,0,0,0
0.426250,184.3837890625,0,0,0,0,0
0.426458,190.827392578125,0,0,0,0,0
0.426667,194.049194335938,0,0,0,0,0
0.426875,197.27099609375,0,0,0,0,0
0.427083,201.137161254883,0,0,0,0,0
0.427292,205.003326416016,0,0,0,0,0
0.427500,207.580764770508,0,0,0,0,0
0.427708,210.80256652832,0,0,0,0,0
0.427917,217.246170043945,0,0,0,0,0
0.428125,219.823608398438,0,0,0,0,0
0.428333,223.04541015625,0,0,0,0,0
0.428542,228.200302124023,0,0,0,0,0
0.428750,232.710830688477,0,0,0,0,0
0.428958,235.288269042969,0,0,0,0,0
0.429167,239.798797607422,0,0,0,0,0
0.429375,241.731872558594,0,0,0,0,0
0.429583,245.598037719727,0,0,0,0,0
0.429792,246.242401123047,0,0,0,0,0
0.430000,253.330368041992,0,0,0,0,0
0.430208,256.552154541016,0,0,0,0,0
0.430417,262.351409912109,0,0,0,0,0
0.430625,264.284484863281,0,0,0,0,0
0.430833,268.150665283203,0,0,0,0,0
0.431042,273.305541992188,0,0,0,0,0
0.431250,274.594268798828,0,0,0,0,0
0.431458,278.460418701172,0,0,0,0,0
0.431667,277.816070556641,0,0,0,0,0
0.431875,284.259674072266,0,0,0,0,0
0.432083,284.904022216797,0,0,0,0,0
0.432292,291.992004394531,0,0,0,0,0
0.432500,290.703277587891,0,0,0,0,0
0.432708,296.502532958984,0,0,0,0,0
0.432917,295.858154296875,0,0,0,0,0
0.433125,298.435607910156,0,0,0,0,0
0.433333,301.657409667969,0,0,0,0,0
0.433542,301.657409667969,0,0,0,0,0
0.433750,304.234832763672,0,0,0,0,0
0.433958,303.590484619141,0,0,0,0,0
0.434167,306.812286376953,0,0,0,0,0
0.434375,310.034088134766,0,0,0,0,0
0.434583,312.611541748047,0,0,0,0,0
0.434792,313.255889892578,0,0,0,0,0
0.435000,313.255889892578,0,0,0,0,0
0.435208,314.544616699219,0,0,0,0,0
0.435417,315.18896484375,0,0,0,0,0
0.435625,319.699493408203,0,0,0,0,0
0.435833,319.055145263672,0,0,0,0,0
0.436042,322.276947021484,0,0,0,0,0
0.436250,322.276947021484,0,0,0,0,0
0.436458,321.632568359375,0,0,0,0,0
0.436667,324.854370117188,0,0,0,0,0
0.436875,329.364898681641,0,0,0,0,0
0.437083,326.143096923828,0,0,0,0,0
0.437292,327.431823730469,0,0,0,0,0
0.437500,327.431823730469,0,0,0,0,0
0.437708,329.364898681641,0,0,0,0,0
0.437917,328.076171875,0,0,0,0,0
0.438125,331.297973632813,0,0,0,0,0
0.438333,331.942352294922,0,0,0,0,0
0.438542,330.00927734375,0,0,0,0,0
0.438750,331.942352294922,0,0,0,0,0
0.438958,331.942352294922,0,0,0,0,0
0.439167,334.519805908203,0,0,0,0,0
0.439375,334.519805908203,0,0,0,0,0
0.439583,335.164154052734,0,0,0,0,0
0.439792,335.808502197266,0,0,0,0,0
0.440000,336.452880859375,0,0,0,0,0
0.440208,337.741607666016,0,0,0,0,0
0.440417,338.385955810547,0,0,0,0,0
0.440625,340.319030761719,0,0,0,0,0
0.440833,337.741607666016,0,0,0,0,0
0.441042,338.385955810547,0,0,0,0,0
0.441250,338.385955810547,0,0,0,0,0
0.441458,338.385955810547,0,0,0,0,0
0.441667,337.741607666016,0,0,0,0,0
0.441875,338.385955810547,0,0,0,0,0
0.442083,340.319030761719,0,0,0,0,0
0.442292,339.674682617188,0,0,0,0,0
0.442500,341.607757568359,0,0,0,0,0
0.442708,345.473907470703,0,0,0,0,0
0.442917,340.319030761719,0,0,0,0,0
0.443125,342.896484375,0,0,0,0,0
0.443333,342.252105712891,0,0,0,0,0
0.443542,342.896484375,0,0,0,0,0
0.443750,342.896484375,0,0,0,0,0
0.443958,344.185211181641,0,0,0,0,0
0.444167,341.607757568359,0,0,0,0,0
0.444375,344.185211181641,0,0,0,0,0
0.444583,342.252105712891,0,0,0,0,0
0.444792,342.252105712891,0,0,0,0,0
0.445000,346.762634277344,0,0,0,0,0
0.445208,342.896484375,0,0,0,0,0
0.445417,344.829559326172,0,0,0,0,0
0.445625,346.118286132813,0,0,0,0,0
0.445833,344.829559326172,0,0,0,0,0
0.446042,345.473907470703,0,0,0,0,0
0.446250,346.762634277344,0,0,0,0,0
0.446458,348.051361083984,0,0,0,0,0
0.446667,345.473907470703,0,0,0,0,0
0.446875,344.185211181641,0,0,0,0,0
0.447083,345.473907470703,0,0,0,0,0
0.447292,347.407012939453,0,0,0,0,0
0.447500,342.896484375,0,0,0,0,0
0.447708,344.829559326172,0,0,0,0,0
0.447917,342.252105712891,0,0,0,0,0
0.448125,345.473907470703,0,0,0,0,0
0.448333,341.607757568359,0,0,0,0,0
0.448542,339.030303955078,0,0,0,0,0
0.448750,337.741607666016,0,0,0,0,0
0.448958,333.875427246094,0,0,0,0,0
0.449167,331.942352294922,0,0,0,0,0
0.449375,330.00927734375,0,0,0,0,0
0.449583,332.586700439453,0,0,0,0,0
0.449792,324.854370117188,0,0,0,0,0
0.450000,322.276947021484,0,0,0,0,0
0.450208,319.055145263672,0,0,0,0,0
0.450417,320.343872070313,0,0,0,0,0
0.450625,314.544616699219,0,0,0,0,0
0.450833,311.322814941406,0,0,0,0,0
0.451042,310.034088134766,0,0,0,0,0
0.451250,306.167938232422,0,0,0,0,0
0.451458,302.946136474609,0,0,0,0,0
0.451667,299.724334716797,0,0,0,0,0
0.451875,296.502532958984,0,0,0,0,0
0.452083,296.502532958984,0,0,0,0,0
0.452292,293.280731201172,0,0,0,0,0
0.452500,289.41455078125,0,0,0,0,0
0.452708,288.770202636719,0,0,0,0,0
0.452917,285.548400878906,0,0,0,0,0
0.453125,281.682220458984,0,0,0,0,0
0.453333,279.104797363281,0,0,0,0,0
0.453542,276.52734375,0,0,0,0,0
0.453750,274.594268798828,0,0,0,0,0
0.453958,269.439361572266,0,0,0,0,0
0.454167,263.64013671875,0,0,0,0,0
0.454375,262.995758056641,0,0,0,0,0
0.454583,259.773956298828,0,0,0,0,0
0.454792,255.263442993164,0,0,0,0,0
0.455000,252.686004638672,0,0,0,0,0
0.455208,249.464202880859,0,0,0,0,0
0.455417,246.242401123047,0,0,0,0,0
0.455625,244.953674316406,0,0,0,0,0
0.455833,239.798797607422,0,0,0,0,0
0.456042,235.932632446289,0,0,0,0,0
0.456250,232.066467285156,0,0,0,0,0
0.456458,226.911575317383,0,0,0,0,0
0.456667,223.04541015625,0,0,0,0,0
0.456875,224.334136962891,0,0,0,0,0
0.457083,219.179260253906,0,0,0,0,0
0.457292,216.601806640625,0,0,0,0,0
0.457500,212.091293334961,0,0,0,0,0
0.457708,208.869491577148,0,0,0,0,0
0.457917,206.292037963867,0,0,0,0,0
0.458125,201.137161254883,0,0,0,0,0
0.458333,199.848434448242,0,0,0,0,0
0.458542,193.404830932617,0,0,0,0,0
0.458750,190.183029174805,0,0,0,0,0
0.458958,186.316864013672,0,0,0,0,0
0.459167,185.02815246582,0,0,0,0,0
0.459375,180.517623901367,0,0,0,0,0
0.459583,176.007095336914,0,0,0,0,0
0.459792,172.140930175781,0,0,0,0,0
0.460000,168.274765014648,0,0,0,0,0
0.460208,165.052963256836,0,0,0,0,0
0.460417,161.186798095703,0,0,0,0,0
0.460625,157.320648193359,0,0,0,0,0
0.460833,152.810119628906,0,0,0,0,0
0.461042,149.588317871094,0,0,0,0,0
0.461250,143.144714355469,0,0,0,0,0
0.461458,144.43342590332,0,0,0,0,0
0.461667,139.922912597656,0,0,0,0,0
0.461875,134.123657226563,0,0,0,0,0
0.462083,130.25749206543,0,0,0,0,0
